text,g,frequency
Brennan,M,1054
April,F,1053
Shannon,F,1052
Eliana,F,1051
Danny,M,1049
Axel,M,1046
Jayda,F,1045
Eliza,F,1044
Ivy,F,1044
Leila,F,1041
Holly,F,1040
Paola,F,1040
Jerry,M,1040
Lane,M,1038
Melody,F,1037
Dennis,M,1034
Natasha,F,1028
Lorenzo,M,1028
Tony,M,1028
Esteban,M,1022
Claudia,F,1021
Daniella,F,1021
Skyler,F,1018
Josie,F,1017
Sandra,F,1017
Nancy,F,1014
Georgia,F,1007
Damon,M,1007
Callie,F,1004
Braeden,M,1003
Kirsten,F,1002
Brenden,M,1002
Louis,M,1001
Eden,F,1000
Kaitlin,F,1000
Philip,M,993
Heidi,F,992
Cindy,F,985
Kristen,F,983
Annika,F,979
Brayan,M,978
Itzel,F,975
Bridget,F,971
Madeleine,F,968
Rose,F,964
Yasmin,F,963
Helen,F,960
Curtis,M,959
Emilee,F,954
Leilani,F,953
Aurora,F,949
Kiera,F,942
Rylie,F,940
Nickolas,M,938
Kathleen,F,933
Charlie,M,932
Marisol,F,928
Tara,F,927
Jayson,M,923
Jonathon,M,920
Denise,F,917
Tatum,F,915
Quentin,M,912
Kadence,F,910
Zander,M,910
Dayanara,F,909
Priscilla,F,906
Ruth,F,906
Kristina,F,902
Raven,F,901
Morgan,M,900
Ryleigh,F,899
Wendy,F,899
Ismael,M,898
Nikolas,M,897
Anahi,F,893
Ximena,F,890
Talia,F,886
Emiliano,M,885
Brenna,F,884
Gary,M,878
Patricia,F,877
Iris,F,876
Madalyn,F,875
Kaydence,F,873
Amir,M,872
Chandler,M,870
Kassandra,F,869
Tristen,M,869
Lexi,F,867
Nyla,F,867
Sage,F,867
Albert,M,867
Serena,F,866
Perla,F,865
Darren,M,864
Mekhi,M,861
Salvador,M,861
Abel,M,855
Lucia,F,852
Meredith,F,852
Alissa,F,849
Caiden,M,849
Ezra,M,849
Jay,M,848
Violet,F,846
Joaquin,M,846
Janiya,F,844
Nayeli,F,844
Alfredo,M,844
Lola,F,843
Sasha,F,843
Fiona,F,842
Declan,M,842
Harley,F,841
Julius,M,841
Camron,M,839
Angie,F,836
Annie,F,835
Moises,M,835
Sidney,F,834
Arthur,M,830
Holden,M,830
Izabella,F,829
Larry,M,828
Samara,F,823
Douglas,M,821
Madisyn,F,819
Kiana,F,817
Mercedes,F,817
Braylon,M,816
Dulce,F,815
Kiley,F,814
Shayla,F,814
Bryant,M,814
Dallas,M,814
Orlando,M,813
Ramon,M,812
Jimena,F,811
Litzy,F,810
Alina,F,808
Kyleigh,F,808
Keaton,M,807
Marvin,M,807
Mauricio,M,806
Ernesto,M,804
Walker,M,803
Marisa,F,800
Rachael,F,797
Genevieve,F,795
Hugo,M,795
Joe,M,795
Fernanda,F,794
Tori,F,794
Christine,F,792
Dana,F,790
Harmony,F,788
Paulina,F,788
Yesenia,F,786
Lesly,F,783
Nia,F,781
Maritza,F,780
Reece,M,779
Hailee,F,778
Lauryn,F,777
Johanna,F,776
Rosa,F,775
Cory,M,772
Casey,F,769
Walter,M,769
Felix,M,768
Ricky,M,767
Chad,M,766
Maximus,M,766
Yahir,M,762
Joselyn,F,761
Marc,M,759
Tate,M,759
Logan,F,758
Marina,F,758
Ali,M,758
Imani,F,757
Cierra,F,756
Dean,M,754
Alice,F,753
Jonas,M,753
Braydon,M,751
Kaylin,F,750
Elliot,M,750
Hayden,F,746
Linda,F,745
Weston,M,742
Malia,F,741
Isiah,M,741
Jaxson,M,738
Clarissa,F,737
Halle,F,735
Brynn,F,734
Bennett,M,734
Easton,M,734
Kassidy,F,733
Scarlett,F,733
Skye,F,733
Phoebe,F,730
Davis,M,730
Rodrigo,M,730
Russell,M,730
Lawrence,M,725
Viviana,F,722
Shaun,M,722
Chris,M,721
America,F,719
Krystal,F,719
Britney,F,717
Rubi,F,716
Gloria,F,715
Francesca,F,714
Nasir,M,714
Amya,F,712
Emilia,F,711
Anne,F,709
Shania,F,707
Eddie,M,706
Luca,M,706
Uriel,M,706
Lana,F,705
Kristopher,M,704
Javon,M,703
Reese,M,699
Issac,M,697
Lacey,F,696
Elaina,F,693
Terry,M,692
Ainsley,F,691
Haylie,F,686
Micheal,M,684
Emerson,F,683
Madyson,F,683
Elisabeth,F,682
Virginia,F,681
Anya,F,680
Bryanna,F,680
Lila,F,679
Maddison,F,679
Ryan,F,676
Kaleigh,F,675
Cora,F,672
Teresa,F,671
Graham,M,670
Tiana,F,668
Nataly,F,666
Taryn,F,666
Amari,M,666
Zachariah,M,665
Macie,F,664
Alessandra,F,663
Miracle,F,662
Kiersten,F,661
Maurice,M,661
Athena,F,659
Silas,M,659
Elliott,M,658
Valentina,F,656
Kade,M,656
Brielle,F,655
Sarai,F,655
Hallie,F,654
Jaiden,F,653
Regan,F,653
Alyson,F,652
Noelle,F,652
Whitney,F,652
Marley,F,651
Carl,M,651
Jane,F,650
Lena,F,650
Lilian,F,650
Raquel,F,648
Kaitlynn,F,645
Tania,F,645
Beau,M,645
Roger,M,644
Jamarion,M,640
Marshall,M,640
Deanna,F,639
Janiyah,F,639
Omarion,M,639
Jadon,M,637
Laney,F,635
Teagan,F,635
Amari,F,633
Anaya,F,633
Leonel,M,633
Aileen,F,632
Jamari,M,631
Tabitha,F,630
Carley,F,627
Cristina,F,627
Reid,M,627
Ayanna,F,626
Carolyn,F,625
Tommy,M,625
Zachery,M,625
Emilie,F,624
Alisha,F,622
Liberty,F,622
Davion,M,621
Dorian,M,621
Melvin,M,621
Raegan,F,619
Jon,M,619
Noe,M,619
Alanna,F,618
Lisa,F,618
Cohen,M,617
Kelvin,M,616
Guillermo,M,615
India,F,612
Anika,F,611
Jenny,F,611
Madilyn,F,610
Jaylin,M,608
Jeffery,M,607
Baylee,F,606
Jaelyn,F,606
Rowan,M,602
Abbigail,F,601
Jaydon,M,600
Deandre,M,599
Lillie,F,598
Justice,M,598
Elle,F,594
Yadira,F,593
Nelson,M,593
Martha,F,592
Marie,F,590
Natalee,F,590
Jessie,M,590
Noel,M,590
Branden,M,588
Carla,F,584
Kailyn,F,583
Joy,F,582
Felipe,M,582
Presley,F,581
Tamia,F,581
Kristian,M,580
Rodney,M,577
Laci,F,576
Hazel,F,575
Mckayla,F,575
Nathanael,M,575
Jermaine,M,572
Janelle,F,571
Frederick,M,569
Franklin,M,567
Destinee,F,566
Khalil,M,566
Ashleigh,F,564
Skylar,M,563
Haleigh,F,562
Kaelyn,F,562
Brent,M,562
Terrance,M,562
Isis,F,561
Billy,M,560
Dane,M,560
Jayce,M,559
Quinton,M,559
Maia,F,558
Norah,F,557
Jaqueline,F,556
Sam,M,556
Kenny,M,555
Allan,M,554
Jamal,M,553
Kali,F,552
Danna,F,548
Rogelio,M,548
Quincy,M,547
Alexus,F,546
Sylvia,F,546
Larissa,F,544
Nehemiah,M,544
Dominique,F,542
Willow,F,542
Ahmad,M,542
Elisa,F,541
Isabela,F,538
Kristin,F,538
London,F,538
Marlene,F,537
Melany,F,537
Justice,F,536
Macey,F,536
Solomon,M,535
Izaiah,M,534
Carlie,F,532
Brendon,M,531
Desmond,M,530
Helena,F,529
Renee,F,529
Reed,M,529
Roy,M,529
Precious,F,528
Jaylon,M,528
Yasmine,F,527
Kody,M,526
Phoenix,M,526
Toby,M,526
Aspen,F,525
Judith,F,525
Madelynn,F,524
Rene,M,524
